Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Original Language,Overview,Popularity,Release Date,Vote Average,Vote Count
36,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%,en,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",74.738,2022-01-12,6.698,2885
37,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%,en,Belgian sleuth Hercule Poirot's Egyptian vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple's idyllic honeymoon is tragically cut short.,53.357,2022-02-09,6.456,3170
38,A Man Called Otto,"$113,190,218","$64,267,657",56.8%,"$48,922,561",43.2%,en,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",46.705,2022-12-28,7.799,2018
39,"Lyle, Lyle, Crocodile","$110,999,085","$46,888,441",42.2%,"$64,110,644",57.8%,en,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",64.148,2022-10-07,7.2,482
40,Halloween Ends,"$104,352,897","$64,079,860",61.4%,"$40,273,037",38.6%,en,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",51.689,2022-10-12,6.174,1498
41,The Roundup,"$101,166,707","$812,859",0.8%,"$100,353,848",99.2%,ko,"The 'Beast Cop' Ma Seok-do heads to a foreign country to extradite a suspect, but soon after his arrival, he discovers additional murder cases and hears about a vicious killer who has been committing crimes against tourists for several years.",44.425,2022-05-18,7.2,190
42,The Woman King,"$93,279,806","$67,328,130",72.2%,"$25,951,676",27.8%,en,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",85.882,2022-09-16,7.723,1782
43,Downton Abbey: A New Era,"$92,651,384","$44,141,550",47.6%,"$48,509,834",52.4%,en,The Crawley family goes on a grand journey to the south of France to uncover the mystery of the dowager countess's newly inherited villa.,36.69,2022-04-27,7.2,393
44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%,kn,"The blood-soaked land of Kolar Gold Fields (KGF) has a new overlord now - Rocky, whose name strikes fear in the heart of his foes. His allies look up to Rocky as their Savior, the government sees him as a threat to law and order; enemies are clamoring for revenge and conspiring for his downfall. Bloodier battles and darker days await as Rocky continues on his quest for unchallenged supremacy.",23.045,2022-04-14,7.483,120
45,Don't Worry Darling,"$87,609,403","$45,309,403",51.7%,"$42,300,000",48.3%,en,"Alice and Jack are lucky to be living in the idealized community of Victory, the experimental company town housing the men who work for the top-secret Victory Project and their families. But when cracks in their idyllic life begin to appear, exposing flashes of something much more sinister lurking beneath the attractive façade, Alice can’t help questioning exactly what they’re doing in Victory, and why.",67.711,2022-09-21,6.801,1985
46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%,ja,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",77.54,2022-06-11,7.916,2586
47,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%,en,An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.,53.106,2022-02-17,7.349,1363
48,Jackass Forever,"$80,563,999","$57,743,451",71.7%,"$22,820,548",28.3%,en,"The Jackass crew, along with some newcomers, returns for one final round of hilarious, absurd, and dangerous stunts.",33.121,2022-02-01,6.875,685
49,The Menu,"$79,628,200","$38,501,125",48.4%,"$41,127,075",51.6%,en,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",47.267,2022-11-17,7.194,3900
