Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Original Language,Overview,Popularity,Release Date,Vote Average,Vote Count
184,Shotgun Wedding,"$8,277,788",-,-,"$8,277,788",100%,en,"Darcy and Tom gather their families for the ultimate destination wedding but when the entire party is taken hostage, “’Til Death Do Us Part” takes on a whole new meaning in this hilarious, adrenaline-fueled adventure as Darcy and Tom must save their loved ones—if they don’t kill each other first.",65.834,2022-12-28,6.323,1004
185,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%,hi,"Vikram, an honest officer with the Lucknow police, is on a mission to find and eliminate gangster Vedha. However, when Vedha surrenders himself to the police and starts narrating stories to Vikram, it blurs the lines between good and evil. Vedha questions Vikram's righteousness while the latter believes he is fair and just. But is he?",7.608,2022-09-30,6.87,28
186,Re/Member,"$8,166,175",-,-,"$8,166,175",100%,-,-,-,-,-,-
187,Rabbit Academy: Mission Eggpossible,"$8,064,443",-,-,"$8,064,443",100%,de,"Max, a city rabbit, reaches his goal of joining the master class for Easter rabbits but when the magical golden egg turns black, Max and his friends must act to save Easter being taken over by a family of foxes.",5.22,2022-03-17,6.0,12
188,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%,te,"Acharya, a middle-aged Naxalite-turned-social reformer, launches a fight against the Endowments Department over misappropriation and embezzlement of temple funds and donations.",9.303,2022-04-29,4.208,12
189,Il grande giorno,"$8,021,940",-,-,"$8,021,940",100%,it,,5.843,2022-12-22,6.261,266
190,The Tatta's,"$8,000,956",-,-,"$8,000,956",100%,-,-,-,-,-,-
191,Ducobu 4 President,"$7,858,171",-,-,"$7,858,171",100%,fr,"Ducobu is elected president of the school, much to Léonie and Latouche's despair!",7.06,2022-07-13,4.3,41
192,Phases of the Moon,"$7,564,756",-,-,"$7,564,756",100%,ja,"Osanai Kei enjoys a peaceful and happy life with his wife Osanai Kozue and daughter Osanai Ruri, but his wife and daughter die in an accident. Osanai Kei's life suddenly changes.  One day, a man named Misumi Akihiko visits Osanai Kei. Misumi Akihiko tells him that on the day Osanai Kozue and Osanai Ruri died, Osanai Ruri, who was a complete stranger to him, was coming to see him. Misumi Akihiko tells him about a woman named Masaki Ruri, who he once loved.  These people, who don't seem related, connect under the name of love.",4.419,2022-12-02,7.3,6
193,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%,kn,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie who is naughty and energetic which is a complete contrast with the Dharma’s character enters his life and gives him a new perspective towards it.,11.156,2022-06-10,7.5,36
194,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%,hi,A budding director tries to research a merciless gangster for making a film on gangsterism. But her secret attempts to conduct the research fail when she gets caught for snooping.,7.045,2022-03-18,5.3,20
195,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%,ja,"Masaya is a university student, but he attends a school that's not his ideal school. His days are generally gloomy. One day, he receives a letter from serial killer Haimura. He was convicted for nine murders and received the death penalty. Back when Haimura was committing his murders, he ran a bakery store. At that time, Masaya was a middle-school student and a customer at his bakery store. According to the letter, Haimura confesses to having committed eight murders, but he insists that he did not commit the last murder. Masaya begins to investigate the last murder case involving Haimura.",6.68,2022-05-06,7.4,7
196,Family Affairs,"$7,330,755",-,-,"$7,330,755",100%,de,The Berger and Böttcher families come to Dorothea's finca on Lanzarote for a weekend trip. The mood is tense and escalates as various mysteries are revealed.,4.595,2022-10-20,6.804,28
197,Listy do M. 5,"$7,328,061",-,-,"$7,328,061",100%,pl,"Wojciech, who does not feel the ubiquitous joyful atmosphere, meets someone who changes his holiday plans. In turn, Karina and Szczepan get embroiled in a fight for an inheritance that may divide even their loved ones. They will see if the only thing that comes out well with the family is in the photos.",2.498,2022-11-04,5.7,7
198,Laid-Back Camp Movie,"$7,317,913",-,-,"$7,317,913",100%,ja,"Your favorite cozy camping anime returns with a movie as the former members of the Outdoors Club get together again, this time to build a campsite! Reunite with Nadeshiko, Rin, Chiaki, Aoi, and Ena as they gather around the campfire once more with good food and good company.",15.311,2022-07-01,7.6,50
199,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%,-,-,-,-,-,-
200,The New Toy,"$7,295,051",-,-,"$7,295,051",100%,fr,"Samy lives happily with his wife, Alice, in a poor urban housing project amongst friends and neighbours. For his son’s birthday, the richest man in France throws open his grand department store, offering the boy whatever he wants. Alexandre chooses Samy, the night watchman, as his new toy…",27.776,2022-10-19,5.9,110
